name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
"Never Better Skeleton Vintage Gym Shirt","never-better-skeleton-vintage-gym-shirt","Never Better Skeleton Vintage Gym Shirt","https://cdn.shopify.com/s/files/1/0574/8598/3792/files/t_9d2268f7-a7fe-4720-902b-69b40bc7cf05.jpg?v=1723194082|https://cdn.shopify.com/s/files/1/0574/8598/3792/files/t_9d2268f7-a7fe-4720-902b-69b40bc7cf05.jpg?v=1723194082|https://cdn.shopify.com/s/files/1/0574/8598/3792/files/laN_f3fe77bc-48cb-432f-b5cb-a3a9d386ca30.jpg?v=1723194210|https://cdn.shopify.com/s/files/1/0574/8598/3792/files/lv_2b8528f0-059f-4ad1-b834-a96572ef4240.jpg?v=1723194319|https://cdn.shopify.com/s/files/1/0574/8598/3792/files/h_8668b3e0-6a96-43f5-ae95-11728ee70ef6.jpg?v=1723194496|https://cdn.shopify.com/s/files/1/0574/8598/3792/files/jpg_938b760a-5de6-4f1a-8bf2-ae91dd38e3fd.jpg?v=1723177058|https://cdn.shopify.com/s/files/1/0574/8598/3792/files/hui_f21d8b86-2201-4dad-9bb6-71e33c11b4bc.jpg?v=1723194660","category:FOR HIM|category:Men's Shirts|category:Inspired by animal|tag:ghost|tag:halloween wscolor:Black|color:Blue|color:Green|color:Brown|color:Graysize:S|size:M|size:L|size:XL|size:XXL|size:3XL|size:4XL|size:5XL","Color|Size","Black|S",,12,"standard",10,true,"",""
"","","","","","","Black|S","undefined-Black-S",12,"standard",10,true,"",""
"","","","","","","Black|M","undefined-Black-M",12,"standard",10,true,"",""
"","","","","","","Black|L","undefined-Black-L",12,"standard",10,true,"",""
"","","","","","","Black|XL","undefined-Black-XL",12,"standard",10,true,"",""
"","","","","","","Black|XXL","undefined-Black-XXL",12,"standard",10,true,"",""
"","","","","","","Black|3XL","undefined-Black-3XL",12,"standard",10,true,"",""
"","","","","","","Black|4XL","undefined-Black-4XL",12,"standard",10,true,"",""
"","","","","","","Blue|S","undefined-Blue-S",12,"standard",10,true,"",""
"","","","","","","Blue|M","undefined-Blue-M",12,"standard",10,true,"",""
"","","","","","","Blue|L","undefined-Blue-L",12,"standard",10,true,"",""
"","","","","","","Blue|XL","undefined-Blue-XL",12,"standard",10,true,"",""
"","","","","","","Blue|XXL","undefined-Blue-XXL",12,"standard",10,true,"",""
"","","","","","","Blue|3XL","undefined-Blue-3XL",12,"standard",10,true,"",""
"","","","","","","Blue|4XL","undefined-Blue-4XL",12,"standard",10,true,"",""
"","","","","","","Green|S","undefined-Green-S",12,"standard",10,true,"",""
"","","","","","","Green|M","undefined-Green-M",12,"standard",10,true,"",""
"","","","","","","Green|L","undefined-Green-L",12,"standard",10,true,"",""
"","","","","","","Green|XL","undefined-Green-XL",12,"standard",10,true,"",""
"","","","","","","Green|XXL","undefined-Green-XXL",12,"standard",10,true,"",""
"","","","","","","Green|3XL","undefined-Green-3XL",12,"standard",10,true,"",""
"","","","","","","Green|4XL","undefined-Green-4XL",12,"standard",10,true,"",""
"","","","","","","Brown|S","undefined-Brown-S",12,"standard",10,true,"",""
"","","","","","","Brown|M","undefined-Brown-M",12,"standard",10,true,"",""
"","","","","","","Brown|L","undefined-Brown-L",12,"standard",10,true,"",""
"","","","","","","Brown|XL","undefined-Brown-XL",12,"standard",10,true,"",""
"","","","","","","Brown|XXL","undefined-Brown-XXL",12,"standard",10,true,"",""
"","","","","","","Brown|3XL","undefined-Brown-3XL",12,"standard",10,true,"",""
"","","","","","","Brown|4XL","undefined-Brown-4XL",12,"standard",10,true,"",""
